datetime,open,high,low,close,volume
2015-12-08,29.38,29.65,29.215,29.5575,34309500
2015-12-09,29.41,29.4225,28.77,28.905,46361400
2015-12-10,29.01,29.235,28.8775,29.0425,29212700
2015-12-11,28.7975,28.8475,28.2125,28.295,46886200
2015-12-14,28.045,28.17,27.4475,28.12,64318700
2015-12-15,27.985,28.2,27.5875,27.6225,53323100
2015-12-16,27.7675,27.9975,27.2,27.835,56238500
2015-12-17,28.005,28.0625,27.245,27.245,44772800
2015-12-18,27.2275,27.38,26.4525,26.5075,96453300
2015-12-21,26.82,26.8425,26.3925,26.8325,47590600
2015-12-22,26.85,26.93,26.6125,26.8075,32789400
2015-12-23,26.8175,27.2125,26.8,27.1525,32657400
2015-12-24,27.25,27.25,26.9875,27.0075,13570400
2015-12-28,26.8975,26.9225,26.545,26.705,26704200
2015-12-29,26.74,27.3575,26.715,27.185,30931200
2015-12-30,27.145,27.175,26.795,26.83,25213800
2015-12-31,26.7525,26.7575,26.205,26.315,40912300
2016-01-04,25.6525,26.3425,25.5,26.3375,67649400
2016-01-05,26.4375,26.4625,25.6025,25.6775,55791000
2016-01-06,25.14,25.5925,24.9675,25.175,68457400
2016-01-07,24.67,25.0325,24.1075,24.1125,81094400
2016-01-08,24.6375,24.7775,24.19,24.24,70798000
2016-01-11,24.7425,24.765,24.335,24.6325,49739400
2016-01-12,25.1375,25.1725,24.71,24.99,49154200
2016-01-13,25.08,25.2975,24.325,24.3475,62439600
2016-01-14,24.49,25.12,23.935,24.88,63170100
2016-01-15,24.05,24.4275,23.84,24.2825,79833900
2016-01-19,24.6025,24.6625,23.875,24.165,53087700
2016-01-20,23.775,24.5475,23.355,24.1975,72334400
2016-01-21,24.265,24.47,23.735,24.075,52161500
2016-01-22,24.6575,25.365,24.5925,25.355,65800500
2016-01-25,25.38,25.3825,24.8025,24.86,51794500
2016-01-26,24.9825,25.22,24.5175,24.9975,75077000
2016-01-27,24.01,24.1575,23.335,23.355,133369700
2016-01-28,23.4475,23.63,23.0975,23.5225,55678800
2016-01-29,23.6975,24.335,23.5875,24.335,64416500
2016-02-01,24.1175,24.1775,23.85,24.1075,40943500
2016-02-02,23.855,24.01,23.57,23.62,37357200
2016-02-03,23.75,24.21,23.52,24.0875,45964300
2016-02-04,23.965,24.3325,23.7975,24.15,46471700
2016-02-05,24.13,24.23,23.4225,23.505,46418100
2016-02-08,23.2825,23.925,23.26,23.7525,54021400
2016-02-09,23.5725,23.985,23.4825,23.7475,44331200
2016-02-10,23.98,24.0875,23.525,23.5675,42343600
2016-02-11,23.4475,23.68,23.1475,23.425,50074700
2016-02-12,23.5475,23.625,23.2525,23.4975,40351400
2016-02-16,23.755,24.2125,23.6525,24.16,49057900
2016-02-17,24.1675,24.5525,24.0375,24.53,44863200
2016-02-18,24.71,24.7225,24.0225,24.065,39021000
2016-02-19,24.0,24.19,23.95,24.01,35374200
2016-02-22,24.0775,24.225,23.98,24.22,34280800
2016-02-23,24.1,24.125,23.6375,23.6725,31942600
2016-02-24,23.495,24.095,23.33,24.025,36255700
2016-02-25,24.0125,24.19,23.8125,24.19,27582700
2016-02-26,24.3,24.505,24.145,24.2275,28991100
2016-02-29,24.215,24.5575,24.1625,24.1725,35216300
2016-03-01,24.4125,25.1925,24.355,25.1325,50407100
