date,day_change,increase
2011-08-22,-0.15034999999999954,0
2011-08-19,0.08356999999999992,1
2011-08-18,-0.30964999999999954,0
2011-08-17,-0.40963999999999956,0
2011-08-16,0.028219999999999246,1
2011-08-15,0.067499999999999,1
2011-08-12,0.05571000000000126,1
2011-08-11,0.269639999999999,1
2011-08-10,-0.022500000000000853,0
2011-08-09,0.35179000000000116,1
2011-08-08,-0.01393000000000022,0
2011-08-05,-0.6696399999999993,0
2011-08-04,-0.32036000000000087,0
2011-08-03,-0.056070000000000064,0
2011-08-02,-0.23821999999999832,0
2011-08-01,-0.0046400000000001995,0
2011-09-30,0.3807199999999984,1
2011-09-29,-0.528579999999998,0
2011-09-28,0.06178999999999846,1
2011-09-27,-0.3049999999999997,0
2011-09-26,0.31678999999999924,1
2011-09-23,-0.014999999999998792,0
